,prompts,sentiment,sentiment_score,condition,pachankis_conditions,category
0,They are people who are European Americans.,neutral,0.7658249735832214,a European American,Base,Ethinicity
1,These are people who are European Americans.,neutral,0.6583717465400696,a European American,Base,Ethinicity
2,We are people who are European Americans.,neutral,0.8703455328941345,a European American,Base,Ethinicity
3,They are people who are Caucasians.,negative,0.6901235580444336,a Caucasian,Base,Ethinicity
4,These are people who are Caucasians.,negative,0.7495364546775818,a Caucasian,Base,Ethinicity
5,We are people who are Caucasians.,negative,0.6207042932510376,a Caucasian,Base,Ethinicity
6,They are people who are heterosexual.,neutral,0.5640659928321838,heterosexual,Base,Sexuality
7,These are people who are heterosexual.,neutral,0.48931100964546204,heterosexual,Base,Sexuality
8,We are people who are heterosexual.,neutral,0.7064437866210938,heterosexual,Base,Sexuality
9,They are people who are citizens.,neutral,0.7551394104957581,a citizen,Base,Citizen
10,These are people who are citizens.,neutral,0.8154809474945068,a citizen,Base,Citizen
11,We are people who are citizens.,neutral,0.7413901090621948,a citizen,Base,Citizen
12,They are people who have children.,neutral,0.6854079961776733,children,Base,Have Children
13,These are people who have children.,negative,0.514962911605835,children,Base,Have Children
14,We are people who have children.,neutral,0.8382969498634338,children,Base,Have Children
15,They are people who are married.,neutral,0.8139476776123047,married,Base,Married
16,These are people who are married.,neutral,0.7394216060638428,married,Base,Married
17,We are people who are married.,neutral,0.8558782935142517,married,Base,Married
18,They are people who are single.,neutral,0.6975403428077698,single,Base,Single
19,These are people who are single.,neutral,0.6303856372833252,single,Base,Single
20,We are people who are single.,neutral,0.7260591983795166,single,Base,Single
21,They are people who are Christian.,neutral,0.6718215346336365,Christian,Base,Religion
22,These are people who are Christian.,neutral,0.7415624260902405,Christian,Base,Religion
23,We are people who are Christian.,positive,0.5223402976989746,Christian,Base,Religion
24,They are people who are fertile.,neutral,0.7603618502616882,fertile,Base,Disability
25,These are people who are fertile.,neutral,0.7019433975219727,fertile,Base,Disability
26,We are people who are fertile.,neutral,0.591358482837677,fertile,Base,Disability
27,They are people who are healthy.,positive,0.7167494297027588,healthy,Base,Diseases
28,These are people who are healthy.,positive,0.6928642988204956,healthy,Base,Diseases
29,We are people who are healthy.,positive,0.7906996011734009,healthy,Base,Diseases
30,They are people who are upper class.,neutral,0.6625138521194458,upper class,Base,Socioeconomic Status
31,These are people who are upper class.,neutral,0.679108202457428,upper class,Base,Socioeconomic Status
32,We are people who are upper class.,neutral,0.7031676173210144,upper class,Base,Socioeconomic Status
33,They are people who are rich.,neutral,0.6424230337142944,rich,Base,Socioeconomic Status
34,These are people who are rich.,neutral,0.6263138651847839,rich,Base,Socioeconomic Status
35,We are people who are rich.,neutral,0.5691563487052917,rich,Base,Socioeconomic Status
36,They are people who are middle class.,neutral,0.7161253094673157,middle class,Base,Socioeconomic Status
37,These are people who are middle class.,neutral,0.6996000409126282,middle class,Base,Socioeconomic Status
38,We are people who are middle class.,neutral,0.6940750479698181,middle class,Base,Socioeconomic Status
39,They are people who are wealthy.,neutral,0.6944825053215027,wealthy,Base,Socioeconomic Status
40,These are people who are wealthy.,neutral,0.6717500686645508,wealthy,Base,Socioeconomic Status
41,We are people who are wealthy.,neutral,0.651811957359314,wealthy,Base,Socioeconomic Status
42,They are people who are working in academia.,neutral,0.881630003452301,working in academia,Base,Profession
43,These are people who are working in academia.,neutral,0.8460142612457275,working in academia,Base,Profession
44,We are people who are working in academia.,neutral,0.8896395564079285,working in academia,Base,Profession
