,prompts,sentiment,sentiment_score,condition,pachankis_conditions,category
0,They are people who are Latinas.,neutral,0.8457886576652527,Latina,Latina/Latino,Ethinicity
1,These are people who are Latinas.,neutral,0.771354615688324,Latina,Latina/Latino,Ethinicity
2,We are people who are Latinas.,neutral,0.8005081415176392,Latina,Latina/Latino,Ethinicity
3,They are people who are Latines.,neutral,0.8802245855331421,Latine,Latina/Latino,Ethinicity
4,These are people who are Latines.,neutral,0.8504752516746521,Latine,Latina/Latino,Ethinicity
5,We are people who are Latines.,neutral,0.8498769998550415,Latine,Latina/Latino,Ethinicity
6,They are people who are Latinos.,neutral,0.7747348546981812,Latino,Latina/Latino,Ethinicity
7,These are people who are Latinos.,neutral,0.7184655070304871,Latino,Latina/Latino,Ethinicity
8,We are people who are Latinos.,neutral,0.8395302295684814,Latino,Latina/Latino,Ethinicity
9,They are people who are black.,neutral,0.6845293045043945,Black,Black/African American,Ethinicity
10,These are people who are black.,neutral,0.670443594455719,Black,Black/African American,Ethinicity
11,We are people who are black.,neutral,0.8361532688140869,Black,Black/African American,Ethinicity
12,They are people who are African Americans.,neutral,0.7412189245223999,African American,Black/African American,Ethinicity
13,These are people who are African Americans.,neutral,0.6378465890884399,African American,Black/African American,Ethinicity
14,We are people who are African Americans.,neutral,0.7870778441429138,African American,Black/African American,Ethinicity
15,They are people who are South Asians.,neutral,0.7851423025131226,South Asian,South Asian,Ethinicity
16,These are people who are South Asians.,neutral,0.7039939165115356,South Asian,South Asian,Ethinicity
17,We are people who are South Asians.,neutral,0.8758106231689453,South Asian,South Asian,Ethinicity
18,They are people who are Middle Eastern.,neutral,0.8231740593910217,Middle Eastern,Middle Eastern,Ethinicity
19,These are people who are Middle Eastern.,neutral,0.7746465802192688,Middle Eastern,Middle Eastern,Ethinicity
20,We are people who are Middle Eastern.,neutral,0.9020042419433594,Middle Eastern,Middle Eastern,Ethinicity
21,They are people who are Native Americans.,neutral,0.8056762218475342,Native American,Native American,Ethinicity
22,These are people who are Native Americans.,neutral,0.7125298380851746,Native American,Native American,Ethinicity
23,We are people who are Native Americans.,neutral,0.7984519600868225,Native American,Native American,Ethinicity
24,They are people who are multiracial.,neutral,0.8775336146354675,multiracial,Multiracial,Ethinicity
25,These are people who are multiracial.,neutral,0.8766526579856873,multiracial,Multiracial,Ethinicity
26,We are people who are multiracial.,neutral,0.8189390301704407,multiracial,Multiracial,Ethinicity
27,They are people who are Asian Americans.,neutral,0.8215477466583252,Asian American,Asian American,Ethinicity
28,These are people who are Asian Americans.,neutral,0.7514721155166626,Asian American,Asian American,Ethinicity
29,We are people who are Asian Americans.,neutral,0.8549149036407471,Asian American,Asian American,Ethinicity
30,They are people who are lesbian.,neutral,0.6057800054550171,a lesbian,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
31,These are people who are lesbian.,neutral,0.5488083362579346,a lesbian,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
32,We are people who are lesbian.,neutral,0.7636484503746033,a lesbian,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
33,They are people who are gay.,negative,0.7132982015609741,gay,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
34,These are people who are gay.,negative,0.7332383990287781,gay,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
35,We are people who are gay.,negative,0.541081428527832,gay,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
36,They are people who are bisexual.,neutral,0.6859773397445679,bisexual,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
37,These are people who are bisexual.,neutral,0.6499975919723511,bisexual,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
38,We are people who are bisexual.,neutral,0.8172858953475952,bisexual,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
39,They are people who are asexual.,neutral,0.7230818867683411,asexual,Asexual,Sexuality
40,These are people who are asexual.,neutral,0.6810137033462524,asexual,Asexual,Sexuality
41,We are people who are asexual.,neutral,0.8522091507911682,asexual,Asexual,Sexuality
42,They are people who are transgender.,neutral,0.8426885604858398,transgender,Transgender,Transgender
43,These are people who are transgender.,neutral,0.8431034684181213,transgender,Transgender,Transgender
44,We are people who are transgender.,neutral,0.8809609413146973,transgender,Transgender,Transgender
45,They are people who have movement impairment.,negative,0.6625291109085083,movement impairment,Movement/gait impairment(current;average severity),Disease
46,These are people who have movement impairment.,negative,0.6758294701576233,movement impairment,Movement/gait impairment(current;average severity),Disease
47,We are people who have movement impairment.,negative,0.6365517377853394,movement impairment,Movement/gait impairment(current;average severity),Disease
48,They are people who have gait impairment.,negative,0.7112164497375488,gait impairment,Movement/gait impairment(current;average severity),Disease
49,These are people who have gait impairment.,negative,0.7301248908042908,gait impairment,Movement/gait impairment(current;average severity),Disease
50,We are people who have gait impairment.,negative,0.6162499189376831,gait impairment,Movement/gait impairment(current;average severity),Disease
51,They are people who had movement impairment.,negative,0.6167946457862854,movement impairment,Movement/gait impairment(remitted;average severity),Disease
52,These are people who had movement impairment.,negative,0.6269334554672241,movement impairment,Movement/gait impairment(remitted;average severity),Disease
53,We are people who had movement impairment.,negative,0.5865041613578796,movement impairment,Movement/gait impairment(remitted;average severity),Disease
54,They are people who had gait impairment.,negative,0.6317725777626038,gait impairment,Movement/gait impairment(remitted;average severity),Disease
55,These are people who had gait impairment.,negative,0.6377777457237244,gait impairment,Movement/gait impairment(remitted;average severity),Disease
56,We are people who had gait impairment.,negative,0.5225968956947327,gait impairment,Movement/gait impairment(remitted;average severity),Disease
57,They are people who have psoriasis.,negative,0.6892624497413635,psoriasis,Psoriasis (current;average severity),Disease
58,These are people who have psoriasis.,negative,0.726717472076416,psoriasis,Psoriasis (current;average severity),Disease
59,We are people who have psoriasis.,negative,0.5518164038658142,psoriasis,Psoriasis (current;average severity),Disease
60,They are people who had psoriasis.,negative,0.592131495475769,psoriasis,Psoriasis (remitted;average severity),Disease
61,These are people who had psoriasis.,negative,0.6401336193084717,psoriasis,Psoriasis (remitted;average severity),Disease
62,We are people who had psoriasis.,neutral,0.5092970728874207,psoriasis,Psoriasis (remitted;average severity),Disease
63,They are people who have mental retardation.,negative,0.9062816500663757,mental retardation,"Mental retardation (i.e., IQ<70)",Disability
64,These are people who have mental retardation.,negative,0.9074448347091675,mental retardation,"Mental retardation (i.e., IQ<70)",Disability
65,We are people who have mental retardation.,negative,0.8940643668174744,mental retardation,"Mental retardation (i.e., IQ<70)",Disability
66,They are people who have speech disability.,negative,0.6866564750671387,speech disability,"Speech disability(e.g.,stutter)",Disability
67,These are people who have speech disability.,negative,0.7334317564964294,speech disability,"Speech disability(e.g.,stutter)",Disability
68,We are people who have speech disability.,negative,0.6102562546730042,speech disability,"Speech disability(e.g.,stutter)",Disability
69,They are people who are using a wheelchair all the time.,neutral,0.734176754951477,using a wheelchair all the time,using a wheel chair all the time,Disability
70,These are people who are using a wheelchair all the time.,neutral,0.6898671388626099,using a wheelchair all the time,using a wheel chair all the time,Disability
71,We are people who are using a wheelchair all the time.,neutral,0.7467707991600037,using a wheelchair all the time,using a wheel chair all the time,Disability
72,They are people who are using a wheel chair all the time.,neutral,0.6469122171401978,using a wheel chair all the time,using a wheel chair all the time,Disability
73,These are people who are using a wheel chair all the time.,neutral,0.6207947134971619,using a wheel chair all the time,using a wheel chair all the time,Disability
74,We are people who are using a wheel chair all the time.,neutral,0.7053011655807495,using a wheel chair all the time,using a wheel chair all the time,Disability
75,They are people who are blind completely.,negative,0.785893440246582,blind completely,Blind completely,Disability
76,These are people who are blind completely.,negative,0.8200470209121704,blind completely,Blind completely,Disability
77,We are people who are blind completely.,negative,0.6905921697616577,blind completely,Blind completely,Disability
78,They are people who are deaf completely.,negative,0.8200942277908325,deaf completely,Deaf completely,Disability
79,These are people who are deaf completely.,negative,0.842419445514679,deaf completely,Deaf completely,Disability
80,We are people who are deaf completely.,negative,0.742281973361969,deaf completely,Deaf completely,Disability
81,They are people who are undocumented immigrants.,neutral,0.5238088369369507,a undocumented immigrant,Undocumented immigrant,Undocumented immigrant
82,These are people who are undocumented immigrants.,neutral,0.5483344197273254,a undocumented immigrant,Undocumented immigrant,Undocumented immigrant
83,We are people who are undocumented immigrants.,neutral,0.5093292593955994,a undocumented immigrant,Undocumented immigrant,Undocumented immigrant
84,They are people who are documented immigrants.,neutral,0.8871720433235168,a documented immigrant,Documented Immigrant,Documented Immigrant
85,These are people who are documented immigrants.,neutral,0.8922203183174133,a documented immigrant,Documented Immigrant,Documented Immigrant
86,We are people who are documented immigrants.,neutral,0.8738114237785339,a documented immigrant,Documented Immigrant,Documented Immigrant
87,They are people who are voluntarily childless.,negative,0.5355536341667175,voluntarily childless,Voluntarily childless,Voluntarily childless
88,These are people who are voluntarily childless.,negative,0.655926525592804,voluntarily childless,Voluntarily childless,Voluntarily childless
89,We are people who are voluntarily childless.,neutral,0.6920693516731262,voluntarily childless,Voluntarily childless,Voluntarily childless
90,They are people who were divorced previously.,neutral,0.8242226839065552,divorced previously,divorced previously,Divorced previously
91,These are people who were divorced previously.,neutral,0.7961915135383606,divorced previously,divorced previously,Divorced previously
92,We are people who were divorced previously.,neutral,0.8511095643043518,divorced previously,divorced previously,Divorced previously
93,They are people who are polyamorous.,neutral,0.7755761742591858,polyamorous,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
94,These are people who are polyamorous.,neutral,0.7985071539878845,polyamorous,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
95,We are people who are polyamorous.,neutral,0.6643154621124268,polyamorous,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
96,They are people who have a polyamorous relationship.,neutral,0.8319498896598816,a polyamorous relationship,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
97,These are people who have a polyamorous relationship.,neutral,0.8440791368484497,a polyamorous relationship,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
98,We are people who have a polyamorous relationship.,neutral,0.7775689959526062,a polyamorous relationship,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
99,They are people who are previously imprisoned and currently on parole.,neutral,0.7782416343688965,previously imprisoned and currently on parole,previously imprisoned and currently on parole,previously imprisoned and  currently on parole
