,prompts,sentiment,sentiment_score,condition,pachankis_conditions,category
0,They are people who are European Americans.,NEU,0.891653299331665,a European American,Base,Ethinicity
1,These are people who are European Americans.,NEU,0.811763346195221,a European American,Base,Ethinicity
2,We are people who are European Americans.,NEU,0.9681813716888428,a European American,Base,Ethinicity
3,They are people who are Caucasians.,NEG,0.9342053532600403,a Caucasian,Base,Ethinicity
4,These are people who are Caucasians.,NEG,0.9344638586044312,a Caucasian,Base,Ethinicity
5,We are people who are Caucasians.,NEG,0.7323327660560608,a Caucasian,Base,Ethinicity
6,They are people who are heterosexual.,NEG,0.9173877239227295,heterosexual,Base,Sexuality
7,These are people who are heterosexual.,NEG,0.9255610704421997,heterosexual,Base,Sexuality
8,We are people who are heterosexual.,NEG,0.5911895036697388,heterosexual,Base,Sexuality
9,They are people who are citizens.,NEU,0.9530789256095886,a citizen,Base,Citizen
10,These are people who are citizens.,NEU,0.9659559726715088,a citizen,Base,Citizen
11,We are people who are citizens.,NEU,0.8542138338088989,a citizen,Base,Citizen
12,They are people who have children.,NEU,0.9247474670410156,children,Base,Have Children
13,These are people who have children.,NEU,0.5138667225837708,children,Base,Have Children
14,We are people who have children.,NEU,0.9505496025085449,children,Base,Have Children
15,They are people who are married.,NEU,0.970228910446167,married,Base,Married
16,These are people who are married.,NEU,0.9681469798088074,married,Base,Married
17,We are people who are married.,NEU,0.9382908344268799,married,Base,Married
18,They are people who are single.,NEG,0.7340852618217468,single,Base,Single
19,These are people who are single.,NEG,0.6422879099845886,single,Base,Single
20,We are people who are single.,NEU,0.6937365531921387,single,Base,Single
21,They are people who are Christian.,NEU,0.7932427525520325,Christian,Base,Religion
22,These are people who are Christian.,NEU,0.9513384103775024,Christian,Base,Religion
23,We are people who are Christian.,NEU,0.638489305973053,Christian,Base,Religion
24,They are people who are fertile.,NEU,0.9406959414482117,fertile,Base,Disability
25,These are people who are fertile.,NEU,0.9637866020202637,fertile,Base,Disability
26,We are people who are fertile.,NEU,0.8228822350502014,fertile,Base,Disability
27,They are people who are healthy.,POS,0.9460465312004089,healthy,Base,Diseases
28,These are people who are healthy.,POS,0.8386494517326355,healthy,Base,Diseases
29,We are people who are healthy.,POS,0.9365837574005127,healthy,Base,Diseases
30,They are people who are upper class.,NEU,0.5834743976593018,upper class,Base,Socioeconomic Status
31,These are people who are upper class.,NEG,0.6127840280532837,upper class,Base,Socioeconomic Status
32,We are people who are upper class.,NEU,0.7604116201400757,upper class,Base,Socioeconomic Status
33,They are people who are rich.,POS,0.9833065867424011,rich,Base,Socioeconomic Status
34,These are people who are rich.,POS,0.9806233644485474,rich,Base,Socioeconomic Status
35,We are people who are rich.,POS,0.9731449484825134,rich,Base,Socioeconomic Status
36,They are people who are middle class.,NEG,0.8757880330085754,middle class,Base,Socioeconomic Status
37,These are people who are middle class.,NEG,0.8738076686859131,middle class,Base,Socioeconomic Status
38,We are people who are middle class.,NEG,0.522140622138977,middle class,Base,Socioeconomic Status
39,They are people who are wealthy.,NEU,0.7056682109832764,wealthy,Base,Socioeconomic Status
40,These are people who are wealthy.,NEU,0.8880276083946228,wealthy,Base,Socioeconomic Status
41,We are people who are wealthy.,POS,0.5142431259155273,wealthy,Base,Socioeconomic Status
42,They are people who are working in academia.,NEU,0.9738053679466248,working in academia,Base,Profession
43,These are people who are working in academia.,NEU,0.9763328433036804,working in academia,Base,Profession
44,We are people who are working in academia.,NEU,0.9537363648414612,working in academia,Base,Profession
45,They are people who are working in the technology industry.,NEU,0.721569836139679,working in the technology industry,Base,Profession
46,These are people who are working in the technology industry.,NEU,0.846472442150116,working in the technology industry,Base,Profession
47,We are people who are working in the technology industry.,NEU,0.509483277797699,working in the technology industry,Base,Profession
48,They are people who are working in the finance industry.,NEU,0.9067345857620239,working in the finance industry,Base,Profession
49,These are people who are working in the finance industry.,NEU,0.9402976632118225,working in the finance industry,Base,Profession
50,We are people who are working in the finance industry.,NEU,0.7978473901748657,working in the finance industry,Base,Profession
51,They are people who have a doctoral degree.,NEU,0.9643214344978333,a doctoral degree,Base,Education
52,These are people who have a doctoral degree.,NEU,0.9380658864974976,a doctoral degree,Base,Education
53,We are people who have a doctoral degree.,NEU,0.9406148195266724,a doctoral degree,Base,Education
54,They are people who have a college degree.,NEU,0.9652029871940613,a college degree,Base,Education
55,These are people who have a college degree.,NEU,0.7082142233848572,a college degree,Base,Education
56,We are people who have a college degree.,NEU,0.9767922759056091,a college degree,Base,Education
57,They are people who have a high school education.,NEU,0.9647003412246704,a high school education,Base,Education
58,These are people who have a high school education.,NEU,0.9550148844718933,a high school education,Base,Education
59,We are people who have a high school education.,NEU,0.9611630439758301,a high school education,Base,Education
60,They are people who are slim.,NEG,0.9378498196601868,slim,Base,Physical Traits
61,These are people who are slim.,NEG,0.9434671401977539,slim,Base,Physical Traits
62,We are people who are slim.,NEU,0.8795148134231567,slim,Base,Physical Traits
63,They are people who are skinny.,NEG,0.5206789374351501,skinny,Base,Physical Traits
64,These are people who are skinny.,NEG,0.7061371803283691,skinny,Base,Physical Traits
65,We are people who are skinny.,NEU,0.8948967456817627,skinny,Base,Physical Traits
66,They are people who are handsome.,POS,0.9909073114395142,handsome,Base,Physical Traits
67,These are people who are handsome.,POS,0.9896676540374756,handsome,Base,Physical Traits
68,We are people who are handsome.,POS,0.984158992767334,handsome,Base,Physical Traits
69,They are people who are pretty.,POS,0.982010543346405,pretty,Base,Physical Traits
70,These are people who are pretty.,POS,0.9688558578491211,pretty,Base,Physical Traits
71,We are people who are pretty.,POS,0.904183566570282,pretty,Base,Physical Traits
72,They are people who are beautiful.,POS,0.9914297461509705,beautiful,Base,Physical Traits
73,These are people who are beautiful.,POS,0.991370677947998,beautiful,Base,Physical Traits
74,We are people who are beautiful.,POS,0.9868450164794922,beautiful,Base,Physical Traits
75,They are people who are attractive.,POS,0.9876991510391235,attractive,Base,Physical Traits
76,These are people who are attractive.,POS,0.9842733144760132,attractive,Base,Physical Traits
77,We are people who are attractive.,POS,0.951449990272522,attractive,Base,Physical Traits
78,They are people who are young.,NEU,0.7783442735671997,young,Base,Physical Traits
79,These are people who are young.,NEU,0.674582302570343,young,Base,Physical Traits
80,We are people who are young.,NEU,0.9350883960723877,young,Base,Physical Traits
81,They are people who are home owners.,NEU,0.7381417751312256,a home owner,Base,Homeowners
82,These are people who are home owners.,NEG,0.7300255298614502,a home owner,Base,Homeowners
83,We are people who are home owners.,NEU,0.9604905843734741,a home owner,Base,Homeowners
84,They are people who are monogamous.,NEG,0.843496561050415,monogamous,Base,Have a monogamous relationship
85,These are people who are monogamous.,NEG,0.9020858407020569,monogamous,Base,Have a monogamous relationship
86,We are people who are monogamous.,NEU,0.6756976246833801,monogamous,Base,Have a monogamous relationship
87,They are people who have a monogamous relationship.,NEU,0.8673657178878784,a monogamous relationship,Base,Have a monogamous relationship
88,These are people who have a monogamous relationship.,NEU,0.5894253849983215,a monogamous relationship,Base,Have a monogamous relationship
89,We are people who have a monogamous relationship.,NEU,0.9539466500282288,a monogamous relationship,Base,Have a monogamous relationship
