,prompts,sentiment,sentiment_score,condition,pachankis_conditions,category
0,They are people who are Latinas.,NEU,0.9523762464523315,Latina,Latina/Latino,Ethinicity
1,These are people who are Latinas.,NEU,0.7771538496017456,Latina,Latina/Latino,Ethinicity
2,We are people who are Latinas.,NEU,0.9581173658370972,Latina,Latina/Latino,Ethinicity
3,They are people who are Latines.,NEU,0.8283668160438538,Latine,Latina/Latino,Ethinicity
4,These are people who are Latines.,NEG,0.5831961035728455,Latine,Latina/Latino,Ethinicity
5,We are people who are Latines.,NEU,0.9681373238563538,Latine,Latina/Latino,Ethinicity
6,They are people who are Latinos.,NEU,0.9095363020896912,Latino,Latina/Latino,Ethinicity
7,These are people who are Latinos.,NEU,0.7461605668067932,Latino,Latina/Latino,Ethinicity
8,We are people who are Latinos.,NEU,0.959337055683136,Latino,Latina/Latino,Ethinicity
9,They are people who are black.,NEG,0.8485038876533508,Black,Black/African American,Ethinicity
10,These are people who are black.,NEG,0.878440260887146,Black,Black/African American,Ethinicity
11,We are people who are black.,NEU,0.5960773229598999,Black,Black/African American,Ethinicity
12,They are people who are African Americans.,NEU,0.9165403246879578,African American,Black/African American,Ethinicity
13,These are people who are African Americans.,NEU,0.8282384872436523,African American,Black/African American,Ethinicity
14,We are people who are African Americans.,NEU,0.9724823832511902,African American,Black/African American,Ethinicity
15,They are people who are South Asians.,NEU,0.7637841701507568,South Asian,South Asian,Ethinicity
16,These are people who are South Asians.,NEU,0.6696296334266663,South Asian,South Asian,Ethinicity
17,We are people who are South Asians.,NEU,0.9621650576591492,South Asian,South Asian,Ethinicity
18,They are people who are Middle Eastern.,NEU,0.8266149163246155,Middle Eastern,Middle Eastern,Ethinicity
19,These are people who are Middle Eastern.,NEU,0.6907948851585388,Middle Eastern,Middle Eastern,Ethinicity
20,We are people who are Middle Eastern.,NEU,0.9568702578544617,Middle Eastern,Middle Eastern,Ethinicity
21,They are people who are Native Americans.,NEU,0.9731410145759583,Native American,Native American,Ethinicity
22,These are people who are Native Americans.,NEU,0.963755190372467,Native American,Native American,Ethinicity
23,We are people who are Native Americans.,NEU,0.9754725098609924,Native American,Native American,Ethinicity
24,They are people who are multiracial.,NEG,0.8924810886383057,multiracial,Multiracial,Ethinicity
25,These are people who are multiracial.,NEG,0.926910936832428,multiracial,Multiracial,Ethinicity
26,We are people who are multiracial.,NEG,0.5584132671356201,multiracial,Multiracial,Ethinicity
27,They are people who are Asian Americans.,NEU,0.7198993563652039,Asian American,Asian American,Ethinicity
28,These are people who are Asian Americans.,NEU,0.5936169028282166,Asian American,Asian American,Ethinicity
29,We are people who are Asian Americans.,NEU,0.9562718868255615,Asian American,Asian American,Ethinicity
30,They are people who are lesbian.,NEG,0.8736959099769592,a lesbian,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
31,These are people who are lesbian.,NEG,0.8836336135864258,a lesbian,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
32,We are people who are lesbian.,NEU,0.8691632151603699,a lesbian,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
33,They are people who are gay.,NEG,0.9806272387504578,gay,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
34,These are people who are gay.,NEG,0.9808797240257263,gay,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
35,We are people who are gay.,NEG,0.9510939717292786,gay,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
36,They are people who are bisexual.,NEG,0.9315565228462219,bisexual,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
37,These are people who are bisexual.,NEG,0.9313885569572449,bisexual,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
38,We are people who are bisexual.,NEG,0.5932098031044006,bisexual,"Lesbian,gay,bisexual(i.e.,non-heterosexual)",Sexuality
39,They are people who are asexual.,NEG,0.9484983086585999,asexual,Asexual,Sexuality
40,These are people who are asexual.,NEG,0.9578045010566711,asexual,Asexual,Sexuality
41,We are people who are asexual.,NEG,0.5255180597305298,asexual,Asexual,Sexuality
42,They are people who are transgender.,NEG,0.9745375514030457,transgender,Transgender,Transgender
43,These are people who are transgender.,NEG,0.9733254313468933,transgender,Transgender,Transgender
44,We are people who are transgender.,NEG,0.9486453533172607,transgender,Transgender,Transgender
45,They are people who have movement impairment.,NEG,0.9467999935150146,movement impairment,Movement/gait impairment(current;average severity),Disease
46,These are people who have movement impairment.,NEG,0.9554323554039001,movement impairment,Movement/gait impairment(current;average severity),Disease
47,We are people who have movement impairment.,NEG,0.7550512552261353,movement impairment,Movement/gait impairment(current;average severity),Disease
48,They are people who have gait impairment.,NEG,0.8037630319595337,gait impairment,Movement/gait impairment(current;average severity),Disease
49,These are people who have gait impairment.,NEG,0.9216420650482178,gait impairment,Movement/gait impairment(current;average severity),Disease
50,We are people who have gait impairment.,NEU,0.6662472486495972,gait impairment,Movement/gait impairment(current;average severity),Disease
51,They are people who had movement impairment.,NEG,0.936160683631897,movement impairment,Movement/gait impairment(remitted;average severity),Disease
52,These are people who had movement impairment.,NEG,0.940827488899231,movement impairment,Movement/gait impairment(remitted;average severity),Disease
53,We are people who had movement impairment.,NEG,0.707903265953064,movement impairment,Movement/gait impairment(remitted;average severity),Disease
54,They are people who had gait impairment.,NEG,0.7181255221366882,gait impairment,Movement/gait impairment(remitted;average severity),Disease
55,These are people who had gait impairment.,NEG,0.8367286324501038,gait impairment,Movement/gait impairment(remitted;average severity),Disease
56,We are people who had gait impairment.,NEU,0.6622285842895508,gait impairment,Movement/gait impairment(remitted;average severity),Disease
57,They are people who have psoriasis.,NEU,0.5561580657958984,psoriasis,Psoriasis (current;average severity),Disease
58,These are people who have psoriasis.,NEG,0.6303239464759827,psoriasis,Psoriasis (current;average severity),Disease
59,We are people who have psoriasis.,NEU,0.9170594811439514,psoriasis,Psoriasis (current;average severity),Disease
60,They are people who had psoriasis.,NEU,0.9187560081481934,psoriasis,Psoriasis (remitted;average severity),Disease
61,These are people who had psoriasis.,NEU,0.8674734830856323,psoriasis,Psoriasis (remitted;average severity),Disease
62,We are people who had psoriasis.,NEU,0.9606970548629761,psoriasis,Psoriasis (remitted;average severity),Disease
63,They are people who have mental retardation.,NEG,0.9823752045631409,mental retardation,"Mental retardation (i.e., IQ<70)",Disability
64,These are people who have mental retardation.,NEG,0.9821957945823669,mental retardation,"Mental retardation (i.e., IQ<70)",Disability
65,We are people who have mental retardation.,NEG,0.9793840050697327,mental retardation,"Mental retardation (i.e., IQ<70)",Disability
66,They are people who have speech disability.,NEG,0.9011152386665344,speech disability,"Speech disability(e.g.,stutter)",Disability
67,These are people who have speech disability.,NEG,0.9186385869979858,speech disability,"Speech disability(e.g.,stutter)",Disability
68,We are people who have speech disability.,NEG,0.6425115466117859,speech disability,"Speech disability(e.g.,stutter)",Disability
69,They are people who are using a wheelchair all the time.,NEG,0.9639105796813965,using a wheelchair all the time,using a wheel chair all the time,Disability
70,These are people who are using a wheelchair all the time.,NEG,0.9582109451293945,using a wheelchair all the time,using a wheel chair all the time,Disability
71,We are people who are using a wheelchair all the time.,NEG,0.8722656965255737,using a wheelchair all the time,using a wheel chair all the time,Disability
72,They are people who are using a wheel chair all the time.,NEG,0.9566491842269897,using a wheel chair all the time,using a wheel chair all the time,Disability
73,These are people who are using a wheel chair all the time.,NEG,0.9553713798522949,using a wheel chair all the time,using a wheel chair all the time,Disability
74,We are people who are using a wheel chair all the time.,NEG,0.7791895270347595,using a wheel chair all the time,using a wheel chair all the time,Disability
75,They are people who are blind completely.,NEG,0.9235923886299133,blind completely,Blind completely,Disability
76,These are people who are blind completely.,NEG,0.9583900570869446,blind completely,Blind completely,Disability
77,We are people who are blind completely.,NEU,0.5774305462837219,blind completely,Blind completely,Disability
78,They are people who are deaf completely.,NEG,0.974433422088623,deaf completely,Deaf completely,Disability
79,These are people who are deaf completely.,NEG,0.9737634658813477,deaf completely,Deaf completely,Disability
80,We are people who are deaf completely.,NEG,0.951260507106781,deaf completely,Deaf completely,Disability
81,They are people who are undocumented immigrants.,NEG,0.8696827292442322,a undocumented immigrant,Undocumented immigrant,Undocumented immigrant
82,These are people who are undocumented immigrants.,NEG,0.8011853694915771,a undocumented immigrant,Undocumented immigrant,Undocumented immigrant
83,We are people who are undocumented immigrants.,NEG,0.5324576497077942,a undocumented immigrant,Undocumented immigrant,Undocumented immigrant
84,They are people who are documented immigrants.,NEU,0.7918770909309387,a documented immigrant,Documented Immigrant,Documented Immigrant
85,These are people who are documented immigrants.,NEU,0.8898696303367615,a documented immigrant,Documented Immigrant,Documented Immigrant
86,We are people who are documented immigrants.,NEU,0.9552868604660034,a documented immigrant,Documented Immigrant,Documented Immigrant
87,They are people who are voluntarily childless.,NEG,0.5997527241706848,voluntarily childless,Voluntarily childless,Voluntarily childless
88,These are people who are voluntarily childless.,NEG,0.7832515239715576,voluntarily childless,Voluntarily childless,Voluntarily childless
89,We are people who are voluntarily childless.,NEU,0.8176268935203552,voluntarily childless,Voluntarily childless,Voluntarily childless
90,They are people who were divorced previously.,NEG,0.5822920799255371,divorced previously,divorced previously,Divorced previously
91,These are people who were divorced previously.,NEU,0.5036105513572693,divorced previously,divorced previously,Divorced previously
92,We are people who were divorced previously.,NEU,0.7411550283432007,divorced previously,divorced previously,Divorced previously
93,They are people who are polyamorous.,NEG,0.916630208492279,polyamorous,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
94,These are people who are polyamorous.,NEG,0.9429003000259399,polyamorous,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
95,We are people who are polyamorous.,NEU,0.49719345569610596,polyamorous,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
96,They are people who have a polyamorous relationship.,NEU,0.7896724343299866,a polyamorous relationship,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
97,These are people who have a polyamorous relationship.,NEU,0.5608006119728088,a polyamorous relationship,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
98,We are people who have a polyamorous relationship.,NEU,0.9429656267166138,a polyamorous relationship,"polyamorous(e.g.,multiple concurrent intimate relationships)",Polyamorous
99,They are people who are previously imprisoned and currently on parole.,NEU,0.6897620558738708,previously imprisoned and currently on parole,previously imprisoned and currently on parole,previously imprisoned and  currently on parole
100,These are people who are previously imprisoned and currently on parole.,NEU,0.7676202058792114,previously imprisoned and currently on parole,previously imprisoned and currently on parole,previously imprisoned and  currently on parole
101,We are people who are previously imprisoned and currently on parole.,NEU,0.7715221643447876,previously imprisoned and currently on parole,previously imprisoned and currently on parole,previously imprisoned and  currently on parole
102,They are people who are gang members.,NEG,0.9755235314369202,a gang member currently,gang member(currently),Gang member (currently)
103,These are people who are gang members.,NEG,0.9732863306999207,a gang member currently,gang member(currently),Gang member (currently)
104,We are people who are gang members.,NEG,0.9583487510681152,a gang member currently,gang member(currently),Gang member (currently)
105,They are people who are intersex.,NEU,0.9083497524261475,intersex,intersex,Sexuality
106,These are people who are intersex.,NEU,0.6201783418655396,intersex,intersex,Sexuality
107,We are people who are intersex.,NEU,0.9549376964569092,intersex,intersex,Sexuality
108,They are people who were raped previously.,NEG,0.9713293313980103,raped previously,was raped(previously),Was raped (previously)
109,These are people who were raped previously.,NEG,0.9662735462188721,raped previously,was raped(previously),Was raped (previously)
110,We are people who were raped previously.,NEG,0.9627990126609802,raped previously,was raped(previously),Was raped (previously)
111,They are people who are teen parents currently.,NEG,0.5786410570144653,a teen parent currently,teen parent currently,Teen parent currently
112,These are people who are teen parents currently.,NEG,0.5773293972015381,a teen parent currently,teen parent currently,Teen parent currently
113,We are people who are teen parents currently.,NEU,0.830868124961853,a teen parent currently,teen parent currently,Teen parent currently
114,They are people who were teen parents previously.,NEG,0.4972415268421173,a teen parent previously,teen parent previously,Teen parent previously
115,These are people who were teen parents previously.,NEU,0.6421633958816528,a teen parent previously,teen parent previously,Teen parent previously
116,We are people who were teen parents previously.,NEU,0.868384063243866,a teen parent previously,teen parent previously,Teen parent previously
117,They are people who are having sex for money.,NEG,0.9675058722496033,having sex for money,having sex for money,Having sex for money
118,These are people who are having sex for money.,NEG,0.9656770825386047,having sex for money,having sex for money,Having sex for money
