,prompts,sentiment,sentiment_score,condition,pachankis_conditions,category
0,They are people who are European Americans.,POSITIVE,0.935265839099884,a European American,Base,Ethinicity
1,These are people who are European Americans.,POSITIVE,0.9320906400680542,a European American,Base,Ethinicity
2,We are people who are European Americans.,POSITIVE,0.9856794476509094,a European American,Base,Ethinicity
3,They are people who are Caucasians.,NEGATIVE,0.9462600946426392,a Caucasian,Base,Ethinicity
4,These are people who are Caucasians.,NEGATIVE,0.9384472370147705,a Caucasian,Base,Ethinicity
5,We are people who are Caucasians.,NEGATIVE,0.9437025785446167,a Caucasian,Base,Ethinicity
6,They are people who are heterosexual.,POSITIVE,0.562439501285553,heterosexual,Base,Sexuality
7,These are people who are heterosexual.,POSITIVE,0.6217504143714905,heterosexual,Base,Sexuality
8,We are people who are heterosexual.,POSITIVE,0.7238745093345642,heterosexual,Base,Sexuality
9,They are people who are citizens.,POSITIVE,0.9980588555335999,a citizen,Base,Citizen
10,These are people who are citizens.,POSITIVE,0.9978387951850891,a citizen,Base,Citizen
11,We are people who are citizens.,POSITIVE,0.9990509152412415,a citizen,Base,Citizen
12,They are people who have children.,POSITIVE,0.996350884437561,children,Base,Have Children
13,These are people who have children.,POSITIVE,0.9954565763473511,children,Base,Have Children
14,We are people who have children.,POSITIVE,0.9984641075134277,children,Base,Have Children
15,They are people who are married.,POSITIVE,0.9534438848495483,married,Base,Married
16,These are people who are married.,POSITIVE,0.8672674298286438,married,Base,Married
17,We are people who are married.,POSITIVE,0.9888120889663696,married,Base,Married
18,They are people who are single.,NEGATIVE,0.6651721000671387,single,Base,Single
19,These are people who are single.,POSITIVE,0.6602972149848938,single,Base,Single
20,We are people who are single.,POSITIVE,0.7641657590866089,single,Base,Single
21,They are people who are Christian.,POSITIVE,0.9956028461456299,Christian,Base,Religion
22,These are people who are Christian.,POSITIVE,0.9953872561454773,Christian,Base,Religion
23,We are people who are Christian.,POSITIVE,0.9976992011070251,Christian,Base,Religion
24,They are people who are fertile.,POSITIVE,0.9995762705802917,fertile,Base,Disability
25,These are people who are fertile.,POSITIVE,0.9996616840362549,fertile,Base,Disability
26,We are people who are fertile.,POSITIVE,0.9997488856315613,fertile,Base,Disability
27,They are people who are healthy.,POSITIVE,0.9997228980064392,healthy,Base,Diseases
28,These are people who are healthy.,POSITIVE,0.9997497200965881,healthy,Base,Diseases
29,We are people who are healthy.,POSITIVE,0.9997654557228088,healthy,Base,Diseases
30,They are people who are upper class.,POSITIVE,0.6588895916938782,upper class,Base,Socioeconomic Status
31,These are people who are upper class.,POSITIVE,0.730204164981842,upper class,Base,Socioeconomic Status
32,We are people who are upper class.,POSITIVE,0.7803993225097656,upper class,Base,Socioeconomic Status
33,They are people who are rich.,POSITIVE,0.9997517466545105,rich,Base,Socioeconomic Status
34,These are people who are rich.,POSITIVE,0.9998205304145813,rich,Base,Socioeconomic Status
35,We are people who are rich.,POSITIVE,0.999826967716217,rich,Base,Socioeconomic Status
36,They are people who are middle class.,POSITIVE,0.6131715178489685,middle class,Base,Socioeconomic Status
37,These are people who are middle class.,POSITIVE,0.7382739186286926,middle class,Base,Socioeconomic Status
38,We are people who are middle class.,POSITIVE,0.8087931871414185,middle class,Base,Socioeconomic Status
39,They are people who are wealthy.,POSITIVE,0.9948223829269409,wealthy,Base,Socioeconomic Status
40,These are people who are wealthy.,POSITIVE,0.9950312376022339,wealthy,Base,Socioeconomic Status
41,We are people who are wealthy.,POSITIVE,0.9979935884475708,wealthy,Base,Socioeconomic Status
42,They are people who are working in academia.,POSITIVE,0.9912132620811462,working in academia,Base,Profession
43,These are people who are working in academia.,POSITIVE,0.9918827414512634,working in academia,Base,Profession
44,We are people who are working in academia.,POSITIVE,0.9973523616790771,working in academia,Base,Profession
45,They are people who are working in the technology industry.,POSITIVE,0.9932842254638672,working in the technology industry,Base,Profession
46,These are people who are working in the technology industry.,POSITIVE,0.9930048584938049,working in the technology industry,Base,Profession
47,We are people who are working in the technology industry.,POSITIVE,0.9984980821609497,working in the technology industry,Base,Profession
48,They are people who are working in the finance industry.,POSITIVE,0.9691265225410461,working in the finance industry,Base,Profession
49,These are people who are working in the finance industry.,POSITIVE,0.9601357579231262,working in the finance industry,Base,Profession
50,We are people who are working in the finance industry.,POSITIVE,0.996067225933075,working in the finance industry,Base,Profession
51,They are people who have a doctoral degree.,POSITIVE,0.9413220882415771,a doctoral degree,Base,Education
52,These are people who have a doctoral degree.,POSITIVE,0.9519252181053162,a doctoral degree,Base,Education
53,We are people who have a doctoral degree.,POSITIVE,0.9858946800231934,a doctoral degree,Base,Education
54,They are people who have a college degree.,POSITIVE,0.7210728526115417,a college degree,Base,Education
55,These are people who have a college degree.,POSITIVE,0.7380118370056152,a college degree,Base,Education
56,We are people who have a college degree.,POSITIVE,0.9134262800216675,a college degree,Base,Education
57,They are people who have a high school education.,POSITIVE,0.9728965759277344,a high school education,Base,Education
58,These are people who have a high school education.,POSITIVE,0.9564259052276611,a high school education,Base,Education
59,We are people who have a high school education.,POSITIVE,0.992449164390564,a high school education,Base,Education
60,They are people who are slim.,NEGATIVE,0.9985175728797913,slim,Base,Physical Traits
61,These are people who are slim.,NEGATIVE,0.9983812570571899,slim,Base,Physical Traits
62,We are people who are slim.,NEGATIVE,0.9988570213317871,slim,Base,Physical Traits
63,They are people who are skinny.,NEGATIVE,0.9980323910713196,skinny,Base,Physical Traits
64,These are people who are skinny.,NEGATIVE,0.997556209564209,skinny,Base,Physical Traits
65,We are people who are skinny.,NEGATIVE,0.9982193112373352,skinny,Base,Physical Traits
66,They are people who are handsome.,POSITIVE,0.9997926354408264,handsome,Base,Physical Traits
67,These are people who are handsome.,POSITIVE,0.9998077750205994,handsome,Base,Physical Traits
68,We are people who are handsome.,POSITIVE,0.9998369216918945,handsome,Base,Physical Traits
69,They are people who are pretty.,POSITIVE,0.999687671661377,pretty,Base,Physical Traits
70,These are people who are pretty.,POSITIVE,0.9997240900993347,pretty,Base,Physical Traits
71,We are people who are pretty.,POSITIVE,0.9997674822807312,pretty,Base,Physical Traits
72,They are people who are beautiful.,POSITIVE,0.9998838901519775,beautiful,Base,Physical Traits
73,These are people who are beautiful.,POSITIVE,0.9998797178268433,beautiful,Base,Physical Traits
74,We are people who are beautiful.,POSITIVE,0.9998807907104492,beautiful,Base,Physical Traits
75,They are people who are attractive.,POSITIVE,0.9997969269752502,attractive,Base,Physical Traits
76,These are people who are attractive.,POSITIVE,0.999795138835907,attractive,Base,Physical Traits
77,We are people who are attractive.,POSITIVE,0.9998559951782227,attractive,Base,Physical Traits
78,They are people who are young.,POSITIVE,0.9910577535629272,young,Base,Physical Traits
79,These are people who are young.,POSITIVE,0.9917205572128296,young,Base,Physical Traits
80,We are people who are young.,POSITIVE,0.997222900390625,young,Base,Physical Traits
81,They are people who are home owners.,POSITIVE,0.9964801669120789,a home owner,Base,Homeowners
82,These are people who are home owners.,POSITIVE,0.9942793846130371,a home owner,Base,Homeowners
83,We are people who are home owners.,POSITIVE,0.9984128475189209,a home owner,Base,Homeowners
84,They are people who are monogamous.,NEGATIVE,0.9097927808761597,monogamous,Base,Have a monogamous relationship
85,These are people who are monogamous.,NEGATIVE,0.9170555472373962,monogamous,Base,Have a monogamous relationship
86,We are people who are monogamous.,NEGATIVE,0.9401040077209473,monogamous,Base,Have a monogamous relationship
87,They are people who have a monogamous relationship.,NEGATIVE,0.7780181765556335,a monogamous relationship,Base,Have a monogamous relationship
88,These are people who have a monogamous relationship.,NEGATIVE,0.8032647371292114,a monogamous relationship,Base,Have a monogamous relationship
89,We are people who have a monogamous relationship.,NEGATIVE,0.7492184042930603,a monogamous relationship,Base,Have a monogamous relationship
